<<<<<<< HEAD
A.GCA.deltaM,1.80998,0.000290589
A.GCC.deltaM,0.714573,0.000416489
A.GCG.deltaM,3.41112,0.000202399
A.GCT.deltaM,0,0
C.GCT.deltaM,2.03251,0.00164327
C.TGC.deltaM,0,0
D.TGC.deltaM,0.113245,0.00039627
D.TGT.deltaM,0,0
E.TGT.deltaM,-1.9195,0.000357846
E.GAC.deltaM,0,0
F.GAC.deltaM,-0.83172,0.000529461
F.GAT.deltaM,0,0
G.GAT.deltaM,3.56336,0.000132375
G.GAA.deltaM,2.52679,0.000368567
G.GAG.deltaM,3.79715,0.000195521
G.TTC.deltaM,0,0
H.TTC.deltaM,-0.264287,0.00119585
H.TTT.deltaM,0,0
I.TTT.deltaM,3.2003,0.00134888
I.GGA.deltaM,0.218179,0.00101909
I.GGC.deltaM,0,0
K.GGC.deltaM,0.738499,0.000573676
K.GGG.deltaM,0,0
L.GGG.deltaM,1.51538,0.000560759
L.GGT.deltaM,3.81657,0.00209963
L.CAC.deltaM,2.36966,0.00115668
L.CAT.deltaM,2.31652,9.70579e-05
L.ATA.deltaM,0.683891,0.000769811
L.ATC.deltaM,0,0
N.ATC.deltaM,-0.980029,0.000472787
N.ATT.deltaM,0,0
P.ATT.deltaM,-1.3356,0.000230066
P.AAA.deltaM,1.62254,0.000745387
P.AAG.deltaM,2.72944,0.000566982
P.CTA.deltaM,0,0
Q.CTA.deltaM,-2.31755,0.000938677
Q.CTC.deltaM,0,0
R.CTC.deltaM,-1.7153,0.0005905
R.CTG.deltaM,1.03371,0.000311565
R.CTT.deltaM,3.5,0.000854392
R.TTA.deltaM,2.29772,0.000774704
R.TTG.deltaM,4.18979,0.00149818
R.ATG.deltaM,0,0
S.ATG.deltaM,1.67829,0.000296061
S.AAC.deltaM,0.468821,0.00012694
S.AAT.deltaM,2.63161,0.000604656
S.CCA.deltaM,0,0
T.CCA.deltaM,1.29153,0.000904045
T.CCC.deltaM,0.14647,0.000191209
T.CCG.deltaM,2.80685,0.000419274
T.CCT.deltaM,0,0
V.CCT.deltaM,2.48307,0.000474336
V.CAA.deltaM,0.354355,0.00014723
V.CAG.deltaM,1.99887,0.00104971
V.AGA.deltaM,0,0
Y.AGA.deltaM,-0.840098,0.00122327
Y.AGG.deltaM,0,0
Z.AGG.deltaM,-0.490506,0.000832272
=======
A.GCA.deltaM,-0.849375,0.00155097
A.GCC.deltaM,-1.15987,0.000997597
A.GCG.deltaM,-1.25125,0.000379863
A.GCT.deltaM,0,0
C.GCT.deltaM,-1.26927,0.00417927
C.TGC.deltaM,0,0
D.TGC.deltaM,-1.54388,0.0019535
D.TGT.deltaM,0,0
E.TGT.deltaM,1.22446,0.000344026
E.GAC.deltaM,0,0
F.GAC.deltaM,0.171626,0.000393818
F.GAT.deltaM,0,0
G.GAT.deltaM,0.181202,0.00409238
G.GAA.deltaM,-1.62294,0.000876013
G.GAG.deltaM,-0.684851,0.00232268
G.TTC.deltaM,0,0
H.TTC.deltaM,-1.34202,0.0022608
H.TTT.deltaM,0,0
I.TTT.deltaM,0.408708,0.00141162
I.GGA.deltaM,-1.0777,0.000678487
I.GGC.deltaM,0,0
K.GGC.deltaM,0.999671,0.000846922
K.GGG.deltaM,0,0
L.GGG.deltaM,0.575533,0.0007531
L.GGT.deltaM,-0.412489,0.000749974
L.CAC.deltaM,-1.64273,0.000498801
L.CAT.deltaM,0.532979,0.000901536
L.ATA.deltaM,2.10953,0.000675762
L.ATC.deltaM,0,0
N.ATC.deltaM,-1.85413,0.0037574
N.ATT.deltaM,0,0
P.ATT.deltaM,-0.507231,0.00132804
P.AAA.deltaM,-1.21588,0.00108323
P.AAG.deltaM,-1.38888,0.00093742
P.CTA.deltaM,0,0
Q.CTA.deltaM,1.58318,0.000817725
Q.CTC.deltaM,0,0
R.CTC.deltaM,-0.794726,0.00225843
R.CTG.deltaM,-1.27979,0.00105149
R.CTT.deltaM,0.445991,0.00178847
R.TTA.deltaM,-1.02368,0.00105594
R.TTG.deltaM,-1.17906,0.00133181
R.ATG.deltaM,0,0
S.ATG.deltaM,0.507597,0.000540243
S.AAC.deltaM,-0.682425,0.0011454
S.AAT.deltaM,-1.00229,0.00139977
S.CCA.deltaM,0,0
T.CCA.deltaM,-0.795178,0.000639187
T.CCC.deltaM,-1.32829,0.00103148
T.CCG.deltaM,-1.51397,0.000807452
T.CCT.deltaM,0,0
V.CCT.deltaM,0.928914,0.000630634
V.CAA.deltaM,-0.517547,0.000534456
V.CAG.deltaM,-1.25496,0.00105207
V.AGA.deltaM,0,0
Y.AGA.deltaM,-1.62295,0.00205541
Y.AGG.deltaM,0,0
Z.AGG.deltaM,-1.61439,0.00303637
>>>>>>> b5d5cf88a671a617fcd79815d5ff84a2de77a0a8
Z.CGA.deltaM,0,0
