ORF,VALUE
SAKL0A00132g,-4.384061932
SAKL0A00154g,-6.087526656
SAKL0A00176g,-5.301321801
SAKL0A00198g,-3.390732693
SAKL0A00220g,-0.918179164
SAKL0A00242g,-2.485464774
SAKL0A00264g,-4.476788153
SAKL0A00286g,-3.494451922
SAKL0A00308g,0.056936403
SAKL0A00330g,-3.74241167
SAKL0A00352g,-1.521554185
SAKL0A00374g,-2.920350227
SAKL0A00396g,-2.787749214
SAKL0A00418g,-2.996166408
SAKL0A00440g,-0.752454268
SAKL0A00462g,-3.530330335
SAKL0A00484g,-3.702328499
SAKL0A00506g,-2.152427003
SAKL0A00528g,-3.037237785
SAKL0A00550g,-2.023392568
SAKL0A00572g,-4.267059645
SAKL0A00594g,-1.294556968
SAKL0A00616g,-1.14279466
SAKL0A00638g,-3.194829403
SAKL0A00660g,-0.980396153
SAKL0A00704g,-2.262684543
SAKL0A00726g,-2.467975475
SAKL0A00748g,0.140605891
SAKL0A00770g,0.075579349
SAKL0A00792g,-2.700658
SAKL0A00814g,-0.529993756
SAKL0A00836g,-2.592789485
SAKL0A00858g,-3.473740595
SAKL0A00880g,-5.666096436
SAKL0A00902g,-3.869408872
SAKL0A00924g,-3.134291845
SAKL0A00946g,-1.595408216
SAKL0A00968g,-3.969424041
SAKL0A00990g,-1.685721253
SAKL0A01012g,-1.178640218
SAKL0A01034g,-0.616312888
SAKL0A01056g,-3.730702446
SAKL0A01078g,-2.50577332
SAKL0A01100g,-4.405132143
SAKL0A01122g,-5.340445071
SAKL0A01144g,-3.250871095
SAKL0A01166g,-2.084277907
SAKL0A01188g,-2.021432698
SAKL0A01210g,-1.37324401
SAKL0A01232g,-2.389011426
SAKL0A01254g,-2.916781471
SAKL0A01276g,-1.399450969
SAKL0A01298g,-0.352134793
SAKL0A01320g,-1.703685008
SAKL0A01342g,-2.892110793
SAKL0A01364g,-1.710531904
SAKL0A01386g,-3.400749891
SAKL0A01408g,-3.847079477
SAKL0A01430g,-2.693695787
SAKL0A01452g,-1.971503446
SAKL0A01474g,-3.750782298
SAKL0A01496g,-2.912787405
SAKL0A01518g,-3.224905302
SAKL0A01628g,-1.89693247
SAKL0A01650g,-4.46193348
SAKL0A01672g,-4.649057124
SAKL0A01694g,-2.711911578
SAKL0A01716g,-3.571430802
SAKL0A01738g,-1.71016105
SAKL0A01760g,-2.416535149
SAKL0A01782g,-0.081180438
SAKL0A01804g,-2.534576439
SAKL0A01826g,-1.060868801
SAKL0A01848g,-1.662376142
SAKL0A01870g,-1.301710299
SAKL0A01892g,-2.733761844
SAKL0A01914g,-1.185678898
SAKL0A01936g,-1.718606912
SAKL0A01958g,-1.20550861
SAKL0A01980g,-0.255795713
SAKL0A02002g,-5.111804222
SAKL0A02024g,-0.761621985
SAKL0A02046g,1.268395598
SAKL0A02068g,-2.306043364
SAKL0A02090g,-2.795125564
SAKL0A02112g,-4.297217764
SAKL0A02134g,-2.630338588
SAKL0A02156g,-2.343109333
SAKL0A02178g,-3.638879191
SAKL0A02200g,-4.877850363
SAKL0A02222g,-4.827069645
SAKL0A02244g,-1.279581837
SAKL0A02266g,0.305505351
SAKL0A02288g,-3.219254802
SAKL0A02310g,0.620433688
SAKL0A02332g,-2.345927023
SAKL0A02354g,-0.563292584
SAKL0A02376g,-3.370647551
SAKL0A02398g,-2.527588026
SAKL0A02420g,-3.795913913
SAKL0A02442g,-4.281523283
SAKL0A02464g,-2.477676997
SAKL0A02486g,-2.164941787
SAKL0A02508g,-3.030083159
SAKL0A02530g,-3.676149725
SAKL0A02552g,-5.101799208
SAKL0A02574g,-2.532893192
SAKL0A02596g,-3.632385384
SAKL0A02618g,-1.801668155
SAKL0A02640g,-2.694509227
SAKL0A02662g,-2.820832221
SAKL0A02684g,-3.290328676
SAKL0A02706g,-5.576627595
SAKL0A02728g,-3.038613892
SAKL0A02750g,-5.272739476
SAKL0A02772g,2.649731703
SAKL0A02794g,-0.359057976
SAKL0A02816g,-2.727297294
SAKL0A02838g,-2.87677193
SAKL0A02860g,-5.102281048
SAKL0A02882g,-3.872880875
SAKL0A02904g,-3.209834925
SAKL0A02926g,-3.399202338
SAKL0A02948g,-4.477959418
SAKL0A02970g,-3.923358261
SAKL0A02992g,-0.359011181
SAKL0A03014g,-2.510264055
SAKL0A03036g,-3.096437636
SAKL0A03058g,-5.037715234
SAKL0A03080g,-3.373092958
SAKL0A03102g,-1.281548196
SAKL0A03124g,-4.162894562
SAKL0A03146g,-2.70878297
SAKL0A03168g,-4.904294846
SAKL0A03190g,-2.120484938
SAKL0A03212g,-3.160543218
SAKL0A03234g,2.935219969
SAKL0A03256g,-3.412816078
SAKL0A03278g,-2.227665675
SAKL0A03300g,1.43316021
SAKL0A03322g,-1.147123888
SAKL0A03344g,-4.201863466
SAKL0A03366g,-0.613833345
SAKL0A03388g,-1.162263959
SAKL0A03410g,-3.586223368
SAKL0A03432g,-0.599064134
SAKL0A03454g,0.870790925
SAKL0A03476g,-4.839324869
SAKL0A03498g,-4.544630169
SAKL0A03520g,-1.795521034
SAKL0A03542g,-2.330151619
SAKL0A03564g,-3.824700616
SAKL0A03586g,0.281014257
SAKL0A03608g,-2.346144925
SAKL0A03630g,-0.311892229
SAKL0A03652g,-2.225966778
SAKL0A03674g,-2.075136315
SAKL0A03696g,-5.907691597
SAKL0A03718g,-3.435846688
SAKL0A03740g,-4.800699885
SAKL0A03762g,-3.72390106
SAKL0A03784g,-4.599363054
SAKL0A03806g,-4.317726453
SAKL0A03828g,-1.187777617
SAKL0A03850g,-3.895642013
SAKL0A03872g,-1.60961185
SAKL0A03894g,-2.258953645
SAKL0A03916g,3.336111359
SAKL0A03938g,-4.335412882
SAKL0A03960g,0.9049305
SAKL0A03982g,-0.165714793
SAKL0A04004g,-2.421334232
SAKL0A04026g,-1.584404698
SAKL0A04048g,-3.577810133
SAKL0A04070g,-4.00257151
SAKL0A04092g,-3.457314
SAKL0A04114g,-2.117603929
SAKL0A04136g,-1.082562634
SAKL0A04158g,-1.38846757
SAKL0A04180g,-0.866497527
SAKL0A04202g,-1.53999482
SAKL0A04224g,-1.868516241
SAKL0A04246g,-4.564320252
SAKL0A04268g,-2.866651062
SAKL0A04290g,-1.430542378
SAKL0A04312g,-3.571488353
SAKL0A04334g,-3.415888674
SAKL0A04356g,-3.955090882
SAKL0A04378g,-1.878538313
SAKL0A04400g,-4.346469558
SAKL0A04422g,-2.607887995
SAKL0A04444g,-1.808275749
SAKL0A04466g,-2.678652904
SAKL0A04488g,0.722602991
SAKL0A04510g,-1.486973533
SAKL0A04532g,-3.609237074
SAKL0A04554g,-5.180512148
SAKL0A04576g,-3.421196755
SAKL0A04598g,-3.567588935
SAKL0A04620g,-4.448776609
SAKL0A04642g,-4.341040914
SAKL0A04686g,2.976152295
SAKL0A04730g,-1.71155024
SAKL0A04752g,0.168606272
SAKL0A04774g,-4.381139939
SAKL0A04796g,-4.541652245
SAKL0A04818g,-3.735877442
SAKL0A04840g,-1.426178673
SAKL0A04862g,-3.395161012
